ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2023-10-12,14.474459516914644,10.45399726728908,23.99288590161081,14.474459516914644,14.474459516914644,0.20868969926169842,0.20868969926169842,0.20868969926169842,-0.006403302800028442,-0.006403302800028442,-0.006403302800028442,0.21509300206172685,0.21509300206172685,0.21509300206172685,0.0,0.0,0.0,17.49513012047519
2023-10-13,14.474797671078806,10.229912509733987,24.247438036390623,14.474797671078806,14.474797671078806,0.1713287417859227,0.1713287417859227,0.1713287417859227,-0.02154615213900186,-0.02154615213900186,-0.02154615213900186,0.19287489392492455,0.19287489392492455,0.19287489392492455,0.0,0.0,0.0,16.95474654367054
2023-10-14,14.475135825242965,10.408824812415714,23.99427601792991,14.475135825242965,14.475135825242965,0.16536027967556924,0.16536027967556924,0.16536027967556924,-0.005245551846636337,-0.005245551846636337,-0.005245551846636337,0.1706058315222056,0.1706058315222056,0.1706058315222056,0.0,0.0,0.0,16.868748333646995
2023-10-15,14.47547397940713,10.570057779204035,23.87283864395616,14.47547397940713,14.47547397940713,0.15854374283775027,0.15854374283775027,0.15854374283775027,0.0101818406555619,0.0101818406555619,0.0101818406555619,0.1483619021821884,0.1483619021821884,0.1483619021821884,0.0,0.0,0.0,16.7704698034528
2023-10-16,14.47581213357129,9.912721066742339,23.092570175326312,14.47581213357129,14.47581213357129,0.13712886564340251,0.13712886564340251,0.13712886564340251,0.010907444896326493,0.010907444896326493,0.010907444896326493,0.126221420747076,0.126221420747076,0.126221420747076,0.0,0.0,0.0,16.460863830714924
2023-10-17,14.476150287735452,9.440871363177141,22.99785572573268,14.476150287735452,14.476150287735452,0.11666953091790641,0.11666953091790641,0.11666953091790641,0.01240638118232473,0.01240638118232473,0.01240638118232473,0.10426314973558169,0.10426314973558169,0.10426314973558169,0.0,0.0,0.0,16.165075951302665
2023-10-18,14.476488441899615,8.192370043356993,22.52286657464259,14.476488441899615,14.476488441899615,0.08226375691289373,0.08226375691289373,0.08226375691289373,-0.0003006599485847212,-0.0003006599485847212,-0.0003006599485847212,0.08256441686147845,0.08256441686147845,0.08256441686147845,0.0,0.0,0.0,15.667378768036361
2023-10-19,14.476826596063777,8.522442338785025,21.73286309066851,14.476826596063777,14.476826596063777,0.054795875973689685,0.054795875973689685,0.054795875973689685,-0.00640330279998805,-0.00640330279998805,-0.00640330279998805,0.06119917877367773,0.06119917877367773,0.06119917877367773,0.0,0.0,0.0,15.2700969907143
2023-10-20,14.47716475022794,7.9804417251807935,21.393277861578326,14.47716475022794,14.47716475022794,0.018689930659606543,0.018689930659606543,0.018689930659606543,-0.02154615213901543,-0.02154615213901543,-0.02154615213901543,0.040236082798621974,0.040236082798621974,0.040236082798621974,0.0,0.0,0.0,14.7477419555574
2023-10-21,14.4775029043921,8.081858424706281,21.173365282774864,14.4775029043921,14.4775029043921,0.01449102815119987,0.01449102815119987,0.01449102815119987,-0.005245551846654548,-0.005245551846654548,-0.005245551846654548,0.019736579997854418,0.019736579997854418,0.019736579997854418,0.0,0.0,0.0,14.687296806538724
2023-10-22,14.477841058556265,7.719329090286604,21.54138034230754,14.477841058556265,14.477841058556265,0.009934983600252625,0.009934983600252625,0.009934983600252625,0.010181840655604287,0.010181840655604287,0.010181840655604287,-0.0002468570553516621,-0.0002468570553516621,-0.0002468570553516621,0.0,0.0,0.0,14.621678172040086
2023-10-23,14.478179212720425,7.6306999811332235,21.32532445090626,14.478179212720425,14.478179212720425,-0.008764914861889966,-0.008764914861889966,-0.008764914861889966,0.010907444896318898,0.010907444896318898,0.010907444896318898,-0.019672359758208864,-0.019672359758208864,-0.019672359758208864,0.0,0.0,0.0,14.351279204565746
2023-10-24,14.478517366884587,7.5398698056464895,20.760369863241824,14.478517366884587,14.478517366884587,-0.02610370185663919,-0.02610370185663919,-0.02610370185663919,0.012406381182340304,0.012406381182340304,0.012406381182340304,-0.038510083038979494,-0.038510083038979494,-0.038510083038979494,0.0,0.0,0.0,14.100574466213258
2023-10-25,14.47885552104875,6.722044898845141,20.125693981850866,14.47885552104875,14.47885552104875,-0.05704403400932858,-0.05704403400932858,-0.05704403400932858,-0.0003006599485883021,-0.0003006599485883021,-0.0003006599485883021,-0.05674337406074028,-0.05674337406074028,-0.05674337406074028,0.0,0.0,0.0,13.65292319428989
2023-10-26,14.479193675212912,6.467946499334161,20.14319138008184,14.479193675212912,14.479193675212912,-0.08077295349646332,-0.08077295349646332,-0.08077295349646332,-0.006403302799992985,-0.006403302799992985,-0.006403302799992985,-0.07436965069647034,-0.07436965069647034,-0.07436965069647034,0.0,0.0,0.0,13.309666437818654
2023-10-27,14.479531829377073,6.075636711432393,19.758759779551106,14.479531829377073,14.479531829377073,-0.11294710928444952,-0.11294710928444952,-0.11294710928444952,-0.02154615213900997,-0.02154615213900997,-0.02154615213900997,-0.09140095714543955,-0.09140095714543955,-0.09140095714543955,0.0,0.0,0.0,12.844110565456756
2023-10-28,14.479869983541235,6.370398753225621,19.766074027402095,14.479869983541235,14.479869983541235,-0.11310972367398756,-0.11310972367398756,-0.11310972367398756,-0.005245551846620285,-0.005245551846620285,-0.005245551846620285,-0.10786417182736727,-0.10786417182736727,-0.10786417182736727,0.0,0.0,0.0,12.84205589086762
2023-10-29,14.480208137705397,5.971362076473317,19.344517900946595,14.480208137705397,14.480208137705397,-0.11361901062481983,-0.11361901062481983,-0.11361901062481983,0.010181840655590186,0.010181840655590186,0.010181840655590186,-0.12380085128041,-0.12380085128041,-0.12380085128041,0.0,0.0,0.0,12.834981215457844
2023-10-30,14.480546291869558,6.021714880678779,19.02845484562657,14.480546291869558,14.480546291869558,-0.1283592580911573,-0.1283592580911573,-0.1283592580911573,0.010907444896311302,0.010907444896311302,0.010907444896311302,-0.1392667029874686,-0.1392667029874686,-0.1392667029874686,0.0,0.0,0.0,12.621834113090522
2023-10-31,14.480884446033722,6.302258730149998,19.25619539961074,14.480884446033722,14.480884446033722,-0.14192430843962256,-0.14192430843962256,-0.14192430843962256,0.012406381182325163,0.012406381182325163,0.012406381182325163,-0.15433068962194774,-0.15433068962194774,-0.15433068962194774,0.0,0.0,0.0,12.425694935436299
2023-11-01,14.481222600197885,5.5489615302347985,18.298333051163937,14.481222600197885,14.481222600197885,-0.16937443683629494,-0.16937443683629494,-0.16937443683629494,-0.0003006599486009057,-0.0003006599486009057,-0.0003006599486009057,-0.169073776887694,-0.169073776887694,-0.169073776887694,0.0,0.0,0.0,12.028473677588341
